"TABLE 43 : MAJOR MONETARY POLICY RATES AND RESERVE REQUIREMENTS - BANK RATE, LAF (REPO, REVERSE REPO, SDF AND MSF) RATES, CRR & SLR",,,,,,,
(Per cent),,,,,,,
Effective Date,Bank Rate,Fix Range LAF Rates,,Standing Deposit Facility Rate,Marginal Standing Facility Rate,Cash Reserve Ratio,Statutory Liquidity Ratio
,,Repo,Reverse Repo,,,,
1,2,3,4,5,6,7,8
06-01-2007,-,-,-,-,-,5.50,-
31-01-2007,-,7.50,-,-,-,-,-
17-02-2007,-,-,-,-,-,5.75,-
03-03-2007,-,-,-,-,-,6.00,-
31-03-2007,-,7.75,-,-,-,-,-
14-04-2007,-,-,-,-,-,6.25,-
28-04-2007,-,-,-,-,-,6.50,-
04-08-2007,-,-,-,-,-,7.00,-
10-11-2007,-,-,-,-,-,7.50,-
26-04-2008,-,-,-,-,-,7.75,-
10-05-2008,-,-,-,-,-,8.00,-
24-05-2008,-,-,-,-,-,8.25,-
12-06-2008,-,8.00,-,-,-,-,-
25-06-2008,-,8.50,-,-,-,-,-
05-07-2008,-,-,-,-,-,8.50,-
19-07-2008,-,-,-,-,-,8.75,-
30-07-2008,-,9.00,-,-,-,-,-
30-08-2008,-,-,-,-,-,9.00,-
11-10-2008,-,-,-,-,-,6.50,-
20-10-2008,-,8.00,-,-,-,-,-
25-10-2008,-,-,-,-,-,6.00,-
03-11-2008,-,7.50,-,-,-,-,-
08-11-2008,-,-,-,-,-,5.50,24.00
08-12-2008,-,6.50,5.00,-,-,-,-
05-01-2009,-,5.50,4.00,-,-,-,-
17-01-2009,-,-,-,-,-,5.00,-
05-03-2009,-,5.00,3.50,-,-,-,-
21-04-2009,-,4.75,3.25,-,-,-,-
07-11-2009,-,-,-,-,-,-,25.00
13-02-2010,-,-,-,-,-,5.50,-
27-02-2010,-,-,-,-,-,5.75,-
19-03-2010,-,5.00,3.50,-,-,-,-
20-04-2010,-,5.25,3.75,-,-,-,-
24-04-2010,-,-,-,-,-,6.00,-
02-07-2010,-,5.50,4.00,-,-,-,-
27-07-2010,-,5.75,4.50,-,-,-,-
16-09-2010,-,6.00,5.00,-,-,-,-
02-11-2010,-,6.25,5.25,-,-,-,-
18-12-2010,-,-,-,-,-,-,24.00
25-01-2011,-,6.50,5.50,-,-,-,-
17-03-2011,-,6.75,5.75,-,-,-,-
03-05-2011,-,7.25,6.25,-,8.25,-,-
16-06-2011,-,7.50,6.50,-,8.50,-,-
26-07-2011,-,8.00,7.00,-,9.00,-,-
16-09-2011,-,8.25,7.25,-,9.25,-,-
25-10-2011,-,8.50,7.50,-,9.50,-,-
28-01-2012,-,-,-,-,-,5.50,-
13-02-2012,9.50,-,-,-,-,-,-
10-03-2012,-,-,-,-,-,4.75,-
17-04-2012,9.00,8.00,7.00,-,9.00,-,-
11-08-2012,-,-,-,-,-,-,23.00
22-09-2012,-,-,-,-,-,4.50,-
03-11-2012,-,-,-,-,-,4.25,-
29-01-2013,8.75,7.75,6.75,-,8.75,-,-
09-02-2013,-,-,-,-,-,4.00,-
19-03-2013,8.50,7.50,6.50,-,8.50,-,-
03-05-2013,8.25,7.25,6.25,-,8.25,-,-
15-07-2013,10.25,-,-,-,10.25,-,-
20-09-2013,9.50,7.50,6.50,-,9.50,-,-
07-10-2013,9.00,-,-,-,9.00,-,-
29-10-2013,8.75,7.75,6.75,-,8.75,-,-
28-01-2014,9.00,8.00,7.00,-,9.00,-,-
14-06-2014,-,-,-,-,-,-,22.50
09-08-2014,-,-,-,-,-,-,22.00
15-01-2015,8.75,7.75,6.75,-,8.75,-,-
07-02-2015,-,-,-,-,-,-,21.50
04-03-2015,8.50,7.50,6.50,-,8.50,-,-
02-06-2015,8.25,7.25,6.25,-,8.25,-,-
29-09-2015,7.75,6.75,5.75,-,7.75,-,-
(Continued),,,,,,,
